nohup: ignoring input
Some weights of the model checkpoint at hfl/chinese-roberta-wwm-ext were not used when initializing LEBertSequenceTagging: ['cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.weight']
- This IS expected if you are initializing LEBertSequenceTagging from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing LEBertSequenceTagging from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of LEBertSequenceTagging were not initialized from the model checkpoint at hfl/chinese-roberta-wwm-ext and are newly initialized: ['bilstm.bias_hh_l0', 'bilstm.bias_ih_l0_reverse', 'crf.trans_matrix', 'bilstm.weight_ih_l0', 'bilstm.bias_ih_l0', 'linear.bias', 'bilstm.weight_ih_l0_reverse', 'bilstm.weight_hh_l0', 'bilstm.weight_hh_l0_reverse', 'bilstm.bias_hh_l0_reverse', 'crf.end_trans', 'crf.start_trans', 'linear.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Some weights of LEBertSequenceTagging were not initialized from the model checkpoint at hfl/chinese-roberta-wwm-ext and are newly initialized because the shapes did not match:
- bert.embeddings.word_embeddings.weight: found shape torch.Size([21128, 768]) in the checkpoint and torch.Size([21155, 768]) in the model instantiated
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/chenghuadong.chd/.conda/envs/py3.8_torch/lib/python3.8/site-packages/transformers/optimization.py:306: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
  warnings.warn(
2023-03-27 16:17:25,085 - INFO - train : total step 1 epoch 0 : loss 247.5711212158203 - (112)
2023-03-27 16:17:26,611 - INFO - train : total step 2 epoch 0 : loss 192.23748779296875 - (112)
2023-03-27 16:17:28,088 - INFO - train : total step 3 epoch 0 : loss 122.88606262207031 - (112)
2023-03-27 16:17:29,646 - INFO - train : total step 4 epoch 0 : loss 102.7718505859375 - (112)
2023-03-27 16:17:31,298 - INFO - train : total step 5 epoch 0 : loss 113.28083801269531 - (112)
2023-03-27 16:17:32,839 - INFO - train : total step 6 epoch 0 : loss 100.29141998291016 - (112)
2023-03-27 16:17:34,330 - INFO - train : total step 7 epoch 0 : loss 103.72477722167969 - (112)
2023-03-27 16:17:35,907 - INFO - train : total step 8 epoch 0 : loss 100.24874877929688 - (112)
2023-03-27 16:17:37,489 - INFO - train : total step 9 epoch 0 : loss 100.12088775634766 - (112)
2023-03-27 16:17:38,955 - INFO - train : total step 10 epoch 0 : loss 98.51923370361328 - (112)
2023-03-27 16:17:40,521 - INFO - train : total step 11 epoch 0 : loss 93.66429138183594 - (112)
2023-03-27 16:17:42,066 - INFO - train : total step 12 epoch 0 : loss 99.0487060546875 - (112)
2023-03-27 16:17:43,617 - INFO - train : total step 13 epoch 0 : loss 95.71591186523438 - (112)
2023-03-27 16:17:45,187 - INFO - train : total step 14 epoch 0 : loss 99.58187866210938 - (112)
2023-03-27 16:17:46,698 - INFO - train : total step 15 epoch 0 : loss 102.95513916015625 - (112)
2023-03-27 16:17:48,275 - INFO - train : total step 16 epoch 0 : loss 92.24420928955078 - (112)
2023-03-27 16:17:49,792 - INFO - train : total step 17 epoch 0 : loss 95.56817626953125 - (112)
2023-03-27 16:17:51,427 - INFO - train : total step 18 epoch 0 : loss 98.90829467773438 - (112)
